Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare
HHALIM_GS033    |1606-XL240E-3     |ALIMENTAT.SWITCHING 340-576VAC/24VDC 10A|ALLEN BRADLE|

HHALIM_GS034    |1606-XLS120E      |ALIMENTAT.SWITCHING 100-240VAC/24VDC 5A |ALLEN BRADLE|

HHALIM_GS035    |1606-XLS240E      |ALIMENTAT.SWITCHING 100-240VAC/24VDC 10A|ALLEN BRADLE|

HHALIM_GS036    |1606-XLS240E-3    |ALIMENTAT.SWITCHING 400-500VAC/24VDC 10A|ALLEN BRADLE|

HHALIM_GS037    |1606-XLS480E      |ALIMENTAT.SWITCHING 100-240VAC/24VDC 20A|ALLEN BRADLE|

HHALIM_GS038    |1606-XLS480E-3    |ALIMENTAT.SWITCHING 400-500VAC/24VDC 20A|ALLEN BRADLE|

HHALIM_GS039    |1606-XLS960E-3S   |ALIMENTAT.SWITCHING 400-500VAC/24VDC 40A|ALLEN BRADLE|

HHALIM_GS040    |6EP1 334-3BA00    |ALIMENTATORE 10A IN 120/500V OUT 24VDC  |SIEMENS     |

HHALIM_GS041    |2866802           |ALIMENTAT.SWITCHING 400-500VAC/24VDC 40A|PHOENIX CONT|COD.QUINT-PS/3AC/24DC/40

HHALIM_GS042    |S8PE-F48024CD     |ALIMENTAT.SWITCHING 320-480VAC/24VDC 20A|OMRON       |INPUT VOLTAGE 3-PHASE

HHALIM_GS043    |1469480000        |ALIM.SWITCHING 5A IN 100/240VAC OUT24VDC|WEIDMULLER  |INPUT VOLTAGE SINGLE PHASE - PROECO

HHALIM_GS044    |1606-XLE120E-2    |ALIMENTAT.SWITCHING 380-480VAC/24VDC 5A |ALLEN BRADLE|

HHALIM_GS045    |ABL8RPS24050      |ALIM.SWITCHING 5A IN.100/500VAC OUT24VDC|SCHNEIDER   |

HHALIM_GS046    |6EP3436-8SB00-0AY0|ALIM.SWITCHING 20A IN 400/500V OUT 24VDC|SIEMENS     |SITOP PSU8200

HHALIM_GS047    |ABL8WPS24200      |ALIM.SWITCHING 20A IN380/500VAC OUT24VDC|SCHNEIDER   |

HHALIM_GS048    |2866705           |ALIMENTAT.SWITCHING 400-500VAC/24VDC 10A|PHOENIX CONT|COD.QUINT-PS/3AC/24DC/10

HHALIM_GS049    |KEN5-FN           |ALIMENTATORE DCBUS 5KW 230/400VAC       |SERVOTECNICA|PRODOTTO DA AMK

HHALIM_GS050    |KEN10-F           |ALIMENTATORE DCBUS 10KW 400VAC          |SERVOTECNICA|PRODOTTO DA AMK

